label,used_a_invariants,sage_rank,sage_rank_error,pari_2_selmer_rank,pari_analytic_rank,has_rational_3_torsion,estimated_3_selmer_bound,notes
518400di1,"[0,0,0,-1080,-8640]",0,,,,False,0,
518400dj1,"[0,0,0,-6750,135000]",1,,,,False,1,
518400dk1,"[0,0,0,-4050,-243000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400dl1,"[0,0,0,-9163800,10677312000]",0,,,,False,0,
518400dm1,"[0,0,0,-254550,-49432000]",1,,,,False,1,
518400dn1,"[0,0,0,-1800,72000]",0,,,,False,0,
518400do1,"[0,0,0,-101250,-12150000]",1,,,,False,1,
518400dp1,"[0,0,0,-16200,777600]",1,,,,False,1,
518400dq1,"[0,0,0,-450,-3600]",0,,,,False,0,
518400dr1,"[0,0,0,-45000,3600000]",0,,,,False,0,
518400ds1,"[0,0,0,-2533950,-1552554000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400dt1,"[0,0,0,-1126200,460016000]",1,,,,False,1,
518400du1,"[0,0,0,-750,-10000]",1,,,,False,1,
518400dv1,"[0,0,0,-120,640]",1,,,,False,1,
518400dw1,"[0,0,0,-270,-2160]",1,,,,False,1,
518400dx1,"[0,0,0,-27000,2160000]",1,,,,False,1,
518400dy1,"[0,0,0,450,18000]",1,,,,False,1,
518400dz1,"[0,0,0,16200,-3888000]",1,,,,False,1,
518400ea1,"[0,0,0,-90,360]",2,,,,False,2,
518400eb1,"[0,0,0,-20250,1215000]",1,,,,False,1,
518400ec1,"[0,0,0,-9000,-360000]",0,,,,False,0,
518400ed1,"[0,0,0,-3240,-77760]",1,,,,False,1,
518400ee1,"[0,0,0,-81000,9720000]",1,,,,False,1,
518400ef1,"[0,0,0,-360,2880]",0,,,,False,0,
518400eg1,"[0,0,0,-810,-9720]",1,,,,False,1,
518400eh1,"[0,0,0,-2250,-45000]",0,,,,False,0,
518400ei1,"[0,0,0,4050,-486000]",2,,,,False,2,
518400ej1,"[0,0,0,1800,144000]",0,,,,False,0,
518400ek1,"[0,0,0,-1080,-17280]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400el1,"[0,0,0,-6750,270000]",0,,,,False,0,
518400em1,"[0,0,0,-3000,-80000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400en1,"[0,0,0,-30,80]",0,,,,False,0,
518400eo1,"[0,0,0,-281550,57502000]",0,,,,False,0,
518400ep1,"[0,0,0,-10135800,-12420432000]",0,,,,False,0,
518400eq1,"[0,0,0,-469800,-511272000]",0,,,,False,0,
518400er1,"[0,0,0,-13050,2367000]",1,,,,False,1,
518400es1,"[0,0,0,1350,-27000]",0,,,,False,0,
518400es2,"[0,0,0,-5506650,4973697000]",0,,,,False,0,
518400et1,"[0,0,0,600,8000]",1,,,,False,1,
